individual 	population 	locus1.allele1	locus1.allele2	locus2.allele1	locus2.allele2	locus3.allele1	locus3.allele2
p1.1	population1	123	123	233	245	176	145
p1.2	population1	123	123	235	245	123	123
p1.3	population1	145	123	233	245	176	176
p1.4	population1	123	123	233	245	176	145
p1.5	population1	145	145	233	245	123	123
p1.6	population1	123	123	235	245	145	176
p1.7	population1	123	123	245	245	176	176
p1.8	population1	145	145	245	245	123	145
p1.9	population1	123	145	235	245	145	123
p1.10	population1	123	145	233	245	176	145
p1.11	population1	123	123	233	245	145	123
p1.12	population1	123	123	233	245	123	176
p2.1	population2	123	123	233	233	176	123
p2.2	population2	123	145	233	233	176	145
p2.3	population2	145	145	233	233	123	176
p2.4	population2	165	145	256	233	145	176
p2.5	population2	165	123	233	233	176	145
p2.6	population2	123	165	233	233	145	123
p2.7	population2	123	145	235	233	123	123
p2.8	population2	145	145	245	233	176	123
p2.9	population2	165	165	235	233	145	145
p2.10	population2	165	123	235	233	176	176
p2.11	population2	123	165	256	233	123	145
p2.12	population2	123	123	245	233	145	145
p2.13	population2	165	165	245	233	176	123
p2.14	population2	165	145	256	233	123	145
p2.15	population2	145	145	233	233	145	123
p3.1	population3	145	145	233	245	176	176
p3.2	population3	145	145	233	245	123	176
p3.3	population3	123	123	233	245	145	176
p3.4	population3	123	123	233	245	123	176
p3.5	population3	145	145	233	245	176	123
p3.6	population3	145	123	233	245	145	145
p3.7	population3	145	145	233	245	176	145
p3.8	population3	145	123	233	245	123	123
p3.9	population3	145	165	233	245	145	123
							
